date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 18:14:08,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 18:15:38,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:21:52,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:25:30,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:27:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:32:03,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 18:36:03,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:36:37,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:37:57,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:37:57,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 18:39:01,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:39:03,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:41:16,view,web,121288,CPM,187.4
